APP_NAME,USER,DATE,STAR,LIKE,COMMENT,OS
꿈의 집 (Homescapes),굼그미,2022-04-07 02:21:10,1,0,8900원 결제했는데 왜 17800원이 나가나요,ios
꿈의 집 (Homescapes),이레평2,2022-04-07 01:02:33,5,0,업데이트하면 선물 준다더니 왜 안줍니까,ios
꿈의 집 (Homescapes),울트라브레인,2022-04-06 13:40:02,5,0,잘 하고있음,ios
