id,APP_NAME,USER,DATE,STAR,LIKE,TITLE,COMMENT,OS
,카카오톡 KakaoTalk,166고고,2022-01-30T22:23:30-07:00,4,0,잘 쓰고 있습니다,"카카오톡 선물하기 내 선물함에서 받은 선물들을 브랜드별, 카테고리별로 묶어줬으면 좋겠어요",ios
,카카오톡 KakaoTalk,몬산토,2022-01-30T21:07:41-07:00,5,0,잘 쓰고는 있는데요…,이모티콘도 이미 여러 번 받고 구매하기도 해서 계정을 삭제하기엔 또 좀 그래요ㅠㅠ 친구추가도 번거롭고요.. 근데 문제는 제가 정말 어릴 때부터 카카오톡을 써왔기 때문에 예전 프로필 업데이트 했던 기록을 싹 다 지우고 싶은데 700개 정도 되어요ㅠㅠ… 전부터 다 없애버리려다가 실패하고 그냥 프로필을 많이 바꿔서 감추려고 했는데 친구들이 구경하다가 발견하고는 해서 너무 쪽팔리더라고요.. 제발 프로필 기록 한 번에 삭제 만들어주시면 안되나요?? 진짜 삭제하는 데에 한 시간동안 걸려도 괜찮은데..,ios
,카카오톡 KakaoTalk,Jaaayeon,2022-01-30T18:10:56-07:00,1,0,글씨체,정굴림좀 다시 추가해주세요... 😇,ios
,카카오톡 KakaoTalk,njh8363,2022-01-30T18:10:51-07:00,1,0,다른 나라에서 인증,다른 나라에서 새폰을 사서 기존 계정에서 새 폰으로바꾸려고 카톡 계정인증을 받으려고 하니 인증문자도 안 오고 너무 불편합니다. 로그인만 하려고 시도하면 다른 곳에서 로그인 시도했다면서 기존 계정도 닫히고 다시 풀고 이러길 계속 반복합니다;; 보안도 좋지만 본인도 카톡을 다른 폰에서 쓸 수가 없으니 불편한 게 이만저만한게 아니네요.,ios
,카카오톡 KakaoTalk,김김공주,2022-01-30T16:26:12-07:00,5,0,익명,안녕하세요 아까 전 초등학생 이라고 리뷰 올렸던 사람입니다 리뷰 보내고 카카오톡을 들어가니 동의하기가 나와서 일단 동의하기를 다 누르고 보니 전화번호를 쓰고 인증번호를 받으라셔서 일단 받았습니다 근데 몇 번을 시도 해도 안되서 인증번호를 받을 수 있는 횟수가 끝났다네요 안그래도 오픈채팅방에서 문제가 일어났었는데…얼른 고쳐주세요ㅜ,ios
,카카오톡 KakaoTalk,J8956120m@,2022-01-30T12:48:19-07:00,1,0,카톡  광고좀 없애 주세요,메인 창에 광고 좀 없애 봐,ios
,카카오톡 KakaoTalk,냐냐냥눈,2022-01-30T08:44:05-07:00,4,0,오픈채팅,안녕하세요 카카오톡을 너무나도 잘 쓰고 있는 유저입니다. 자주는 아니지만 가끔 오픈채팅을 사용하는데 방장의 말은 가릴 수가 없더라구요. 그 이유가 궁금합니다.,ios
,카카오톡 KakaoTalk,DOT.옴,2022-01-29T23:53:41-07:00,1,0,아이폰 알람 오류 수정 업뎃 좀,"아이폰 XS MAX 유저인데 알람이 안떠요… 소리뿐 아니라 화면 알림도 뜨지 않습니다. 어플을 실행해야 뒤늦게 밀린 알람이 우르르 떠요. 알람 재설정도 해보고 피씨카톡도 로그아웃, 폰 알람 재설정도 해봤는데 알람 오류가 고쳐지지 않습니다. 연락을 놓치는 경우가 너무 많은데 도데체 언제 업뎃 오류 수정해주시나요? 몇 주째 이렇다보니 너무 짜증나네요. 수정 좀 빨리 해주세요.",ios
,카카오톡 KakaoTalk,날뛰는 돼숭이,2022-01-29T20:19:25-07:00,2,0,ㅠ,인증번호가 안 와요,ios
,카카오톡 KakaoTalk,YouTube사나,2022-01-29T20:04:58-07:00,5,0,좋아요,이모티콘도 다양하고 통화도 무료로할수 있어서 좋습니다,ios
,카카오톡 KakaoTalk,어쩔티비안물티비뇌절티비쿠크로핑퐁,2022-01-29T18:55:45-07:00,2,0,제발 그냥 나이고 뭐고 생기게 해주세요.,"제가 진짜 짜증나는 애 한명이있는데 그걸   카톡에 조그만하게 적고싶은데 영어로 적으면 읽을수있는애들이 훨신많구,멀티프로필뜨지도 않구..14세 아니라서 이러는건가요?  저 진짜  필요해요 멀티프로필!",ios
,카카오톡 KakaoTalk,카톡엿먹어어쩔티비,2022-01-29T17:12:22-07:00,2,0,별 점 주기도 아까움,"ㅇㄴ 갑자기 로그아웃 되서 로그인하궁 인증번호 안와서 계속 했는데 24시간후 다시 시도하라고 함 ,,근데 문자가 그 다음날왔고 심지어 다시 로그인 하려는데 한번했는데도 24시간후 다시 하래",ios
,카카오톡 KakaoTalk,BohemeJin,2022-01-29T16:28:39-07:00,1,0,인앱 브라우저 강제,기본브라우저 선택을 하게 해주고 링크에서 눌렀을때 다른 브라우저에서 열 수 있는 옵션 제공도 없고 기술이 부족하거나 편의를 위함이 아니라 나쁨,ios
,카카오톡 KakaoTalk,대박이댯큨,2022-01-29T11:46:53-07:00,5,0,핳,근데 글씨체를 좀더 다양하게 만들어주세욥,ios
,카카오톡 KakaoTalk,우하하함,2022-01-29T08:05:46-07:00,1,0,인증번호,카톡을 지웠다 까는데 로그인을 하고 인증번호를 보냈어요 제번호로 근데 인증번호가 안와 24시간 후 재시도라는데 어떡하죠?,ios
,카카오톡 KakaoTalk,번개맨장터,2022-01-29T07:51:54-07:00,5,0,이모티콘~~,이모티콘 중고거래 기능 생기면 좋을 거 같아요  아님 안쓰는 이모티콘 친구한테 선물할 수 있게 해주세요,ios
,카카오톡 KakaoTalk,숨기기 기능 만들어 주세요,2022-01-29T05:50:29-07:00,4,0,오픈채팅 숨기기 기능 제발 만들어주세요,카톡 기능 다른것도 다 좋고 그런데 오픈채팅 숨기기 기능은 제발 만들어 주시면 안 되나요ㅠㅠㅠㅠ 솔직히 숨기기 기능이 있으면 너무 편할 거 같아요 채팅방이 너무 많은데 나갈수도 없고 필요한 내용도 잇어서 지울수도 없어서 그냥 숨기기 기능이 잇으면 좋겟어요… 따로 활용성도 있을 거 같고 애들한테 너무 문자 오는데 문자도 너무 많이 와서 그 빨간 네모 상자 보기도 싫어요 그렇다고 나갈수도 없고… 제발 채팅방 숨기기 기능이라도 만들어주세요,ios
,카카오톡 KakaoTalk,최강의 듀오ㅠㅠㅠㅠㅠㅠㅠ,2022-01-29T05:13:41-07:00,4,0,카카오게임 최강의 듀오 왜 없어졌나요ㅠㅠ,엄청엄청 좋아했던 게임 이였는데 사라져서 너무 아쉬워요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,ios
,카카오톡 KakaoTalk,1203oknq,2022-01-29T05:06:43-07:00,1,0,글씨체,글씨체좀제발 이쁜것좀요 네이버글씨체처럼..,ios
,카카오톡 KakaoTalk,ㄹㅇ 찐으로 너무너무 편해여 !!,2022-01-29T04:19:39-07:00,1,0,카카오계정이 도용당했는데 어떡해 해야 하나요?,제가 쓰다가 다른 사람한테 해킹을 당했는데 그 계정을 지워주실수 있나요 ? 제가 계정이 안만들어져요,ios
,카카오톡 KakaoTalk,뜓쥼,2022-01-29T02:39:27-07:00,1,1,카톡프로필 원래대로하라구요,개거지같은거 다들 바꿔달라는데 개발자 처노나 몇달째 그대로네진짜 차단할때 원래처럼 스와이프기능 살려달라니까 멀쩡한건 없애고 그지같이 지들멋대로 바꿨네 미친ㅡㅡ업데이트 언제 또 할건데요,ios
,카카오톡 KakaoTalk,하시 ㅂ,2022-01-29T02:34:46-07:00,1,0,먼데 하,업뎃안시켰는데 지혼자 하더니 오류났다고 최신카톡버전다시깔래 시 ㅂ 다날라가잖아 카톡대화창이러면,ios
,카카오톡 KakaoTalk,09051167283,2022-01-29T02:32:15-07:00,1,0,내보내기 해제,이거 왜 내보내기 해제하는 창이 안뜨나요..,ios
,카카오톡 KakaoTalk,줄기다리지말고ㅠ여기서 먹어라,2022-01-28T22:17:12-07:00,1,0,멀티프로필 진짜 쓸데 없습니다.,제 남편 휴대폰을 밨는데 멀티프로필을 악용하고 있더라구요 .뭔지 말 안해도 알겠지요. 바람입니다. 물론 당신들의 일이 아니겠지만 이게 개인정보 보호때매 쓰인다고 하기에는 악용하는 사람들도 있어요 그것도 아주 많이.. 없애달라는건 아니고 ..없어지지 않을거지만 멀티프로필이라는것을 상대방이 꼭 알 수 있게만이라도 해주세요. 너무 속상합니다. 한귀로 흘려듣지 않길 바랍니다. 입장 바꿔서 생각 한번만 해 보세요.,ios
,카카오톡 KakaoTalk,나는야 아바타스타,2022-01-28T21:38:12-07:00,5,0,제발 좌우반전 없애주세요ㅠㅠ,제발제발제발제발제발제발제발 전면카메라 좌우반전 없애주세요 제발제발제발제발제발ㅜㅜ,ios
,카카오톡 KakaoTalk,머리텅텅빈캐시비,2022-01-28T19:37:42-07:00,5,0,채팅창 상단고정 수 늘려주세욤!!,채팅창 상단고정 수 늘려주세욤!! 딴거 다피료없구 이거 한 10개정도로….5개 넘 적어욤..!.!.!.!.!.!.!.ㅠㅠㅠ,ios
,카카오톡 KakaoTalk,단냥이,2022-01-28T17:41:37-07:00,3,0,왜 프사바꿀때 계속 튕기는거죠?저만 그런가요?,그냥 톡보낼때는 괜찮은데 프사를 바꿀때는 계속 튕기네요. 왜 그런가요?저만그런가요?  업데이트 뜨는거 너무좋아요!!!!,ios
,카카오톡 KakaoTalk,zxcrt2354,2022-01-28T09:48:47-07:00,4,0,멀티프로필,애초에 새 친구로 추가 되는 사람들은 멀티프로필로 설정할 수 있는 기능이 추가 되었으면 합니다 제발,ios
,카카오톡 KakaoTalk,Krxb,2022-01-28T07:57:49-07:00,1,1,사측의 살수를 유저에게?,중고폰애 깔린 카톡 업데이트 안되기에 새로깔았더니 다시 깔았더니만 새로 인증하기 떠서 인증했더니 사용자가 정책위반으로 정지되는 앱이 있다?,ios
,카카오톡 KakaoTalk,서비스 개선 좀요ㅡㅡ,2022-01-28T05:39:08-07:00,1,1,제발 서비스 개선 좀 하세요,본인인증 오류가 뜨는데도 해결할 방법이 이리저리 서류발급받고 전달하고 복잡하게 하는 수 밖에 없는건가요? 심지어 휴대폰 번호를 바꿔버리면 저 방법으로도 해결을 못하네요. 결국 계정을 새로 파는 중입니다. 이게 최선인가요? 서비스가 정말 정말 불친절해요. 별 하나도 아깝네요.,ios
,카카오톡 KakaoTalk,Eareca,2022-01-28T05:36:13-07:00,3,0,카카오톡 바뀐 번호로 인증이 안됩니다,전에 바뀌기전 번호로 카톡 아이디가 3개정도 있었는데 탈퇴하고 새로운 번호로 계정 가입을 할려했더니 번호 인증이 안되는 번호라고 뜹니다  카톡으로 회사 사람들이랑 소통하면서 일하는 사람인데 이러면 어떡하나요.. 빨리 조치해서 풀어주셨음 좋겠습니다,ios
,카카오톡 KakaoTalk,셀 닌,2022-01-28T05:25:43-07:00,5,0,폰트개발좀 해주세요!!!!!!!,"아이폰 폰트 개발좀 해주세요,,,,, 이상한것만 만들지마시고,,",ios
,카카오톡 KakaoTalk,dusdl123,2022-01-28T04:46:15-07:00,1,0,카카오 서랍기능 없애라,서랍기능이 갑자기 생겨서 예전사진들을 못 보고 있습니다 갑자기 돈 내라구요? ㅋㅋ 진짜 말도 안되는 짓임,ios
,카카오톡 KakaoTalk,제주 사는데 이메일 안보면 본사 찾아감,2022-01-28T04:01:05-07:00,5,0,제발 보호조치 해결해주세요 ㅠㅠ,지금 카톡이 계속 보호 조치 받고 있다고 떠서 안들어가져요 ㅠㅠ 제발 풀어주세요 이메일 한번만 봐주세요 ㅠㅠ,ios
,카카오톡 KakaoTalk,Raphael Gim,2022-01-28T00:30:50-07:00,1,1,짜증남,아니 연락처에 번호만 추가 했을 뿐인대 카카토톡에 왜 친구로 추가가 돼있죠?그러면 프로필을 볼수있잖아요.전 개인정보 유출이 됄수있잖아요.이번 업데이트에선 연락처에 추가됀 전화번호를 카카오톡에서 바로 새로운 친구로 바로 뜨지말고 선택권이 있었으면 좋겠어요.예를 들어 000친구를 추가하시겠 습니까? 라고 선택을 할수 있으면 좋겠어요. 그리고 늘 카카오 와 관련됀 문자가 계속 와요. 제가 아이폰이라 무음으로 설정을 해놔도 진동이 울려서 스트레스를 받아요. 그런 문제점을 좀 봐주시면 좋겠습니다.차단을 해놔도 친구에는 카카오와 관련됀 스팸 이 남아있어요. 이런 문제점을 고쳐주세요.,ios
,카카오톡 KakaoTalk,상태메롱됨,2022-01-28T00:18:04-07:00,5,0,그룹채팅,단체톡방에서 나중에 초대된 사람도 (초대 되기 전 내용) 위에 대화 내용을 볼 수 있는 기능 만들어주시면 감사하겠습니다!,ios
,카카오톡 KakaoTalk,할류너존,2022-01-27T20:26:43-07:00,2,0,카카오톡 구매하기가 패드는 왜 안되죠??,휴대폰이 고장이 나서 아이패드를 사용중인 학생입니다. 주변 사람들이 생일이 되면 선물을 주고 싶은데 꼭 모바일 기기로만 구매가 가능하니까 너무 불편하네요  ㅠㅠ 저처럼 패드를 쓰는 사람도 있을텐데 이런 점 개선 가능할까요?? 꼭 좋은 답변이 오길 기다릴께요,ios
,카카오톡 KakaoTalk,잔민고,2022-01-27T19:10:03-07:00,3,0,좋다,아이폰4쓰는데 업데이트 하라고한다,ios
,카카오톡 KakaoTalk,밍글멩글,2022-01-27T18:59:51-07:00,5,0,채팅방 하단 고정이 생겼으면 좋겠습니다.,카톡 상단 고정 기능처럼 하단 고정 기능 있었으면 좋겠습니다. 나가지는 못하지만 성가신 단톡이 상단에 자꾸 올라오는게 너무 불편합니다. 하단 고정 기능 희망합니다.,ios
,카카오톡 KakaoTalk,헤헿헿헷,2022-01-27T12:53:06-07:00,4,0,키워드알림,제발 키워드알림 아이폰 복구시켜주세오ㅠㅠㅠㅠㅠㅠ제발오 진짜 너무 불편해요,ios
